Date;column
01/07/2019;5.95
01/09/2019;5.95
01/07/2020;6.25
01/01/2021;6.25
01/03/2021;6.36
01/08/2021;6.91
01/10/2021;6.91
01/12/2021;7.66
01/03/2022;7.86
01/08/2022;8.26
01/09/2022;8.26
01/10/2022;8.26
01/12/2022;8.26
01/01/2023;8.26
01/03/2023;8.26
01/05/2023;8.26
01/07/2023;7.76
01/09/2023;7.76
01/10/2023;7.76
01/04/2024;6.96
01/05/2024;6.96
01/06/2024;7.76
01/07/2024;7.43
01/08/2024;7.43
01/09/2024;7.43
01/10/2024;7.43
01/11/2024;7.43
01/12/2024;7.43
01/01/2025;7.43
01/02/2025;7.76
01/03/2025;7.43
01/04/2025;7.43
01/05/2025;7.43
01/06/2025;7.43
01/07/2025;6.06
