Date;column
01/07/2019;5.95
01/08/2019;5.95
01/09/2019;5.95
01/10/2019;5.95
01/11/2019;5.95
01/12/2019;5.95
01/01/2020;5.95
01/02/2020;5.95
01/03/2020;5.95
01/04/2020;5.95
01/05/2020;5.95
01/06/2020;5.95
01/07/2020;6.25
01/08/2020;6.25
01/09/2020;6.25
01/10/2020;6.25
01/11/2020;6.25
01/12/2020;6.25
01/01/2021;6.25
01/02/2021;6.25
01/03/2021;6.36
01/04/2021;6.36
01/05/2021;6.36
01/06/2021;6.36
01/07/2021;6.36
01/08/2021;6.91
01/09/2021;6.91
01/10/2021;6.91
01/11/2021;6.91
01/12/2021;7.66
01/01/2022;7.66
01/02/2022;7.66
01/03/2022;7.86
01/04/2022;7.86
01/05/2022;7.86
01/06/2022;7.86
01/07/2022;7.86
01/08/2022;8.26
01/09/2022;8.26
01/10/2022;8.26
01/11/2022;8.26
01/12/2022;8.26
01/01/2023;8.26
01/02/2023;8.26
01/03/2023;8.26
01/04/2023;8.26
01/05/2023;8.26
01/06/2023;8.26
01/07/2023;7.76
01/08/2023;7.76
01/09/2023;7.76
01/10/2023;7.76
01/11/2023;7.76
01/12/2023;7.76
01/01/2024;7.76
01/02/2024;7.76
01/03/2024;7.76
01/04/2024;6.96
01/05/2024;6.96
01/06/2024;7.76
01/07/2024;7.43
01/08/2024;7.43
01/09/2024;7.43
01/10/2024;7.43
01/11/2024;7.43
01/12/2024;7.43
01/01/2025;7.43
01/02/2025;7.76
01/03/2025;7.43
01/04/2025;7.43
01/05/2025;7.43
01/06/2025;7.43
01/07/2025;6.06
