Date;column_1;column_2
01/01/1986;22.93;0
01/02/1986;15.46;0
01/03/1986;12.61;0
01/04/1986;12.84;0
01/05/1986;15.38;0
01/06/1986;13.43;0
01/07/1986;11.59;0
01/08/1986;15.1;0
01/09/1986;14.87;0
01/10/1986;14.9;0
01/11/1986;15.22;0
01/12/1986;16.11;0
01/01/1987;18.65;0
01/02/1987;17.75;0
01/03/1987;18.3;0
01/04/1987;18.68;0
01/05/1987;19.44;18.58
01/06/1987;20.07;18.86
01/07/1987;21.34;19.86
01/08/1987;20.31;18.98
01/09/1987;19.53;18.31
01/10/1987;19.86;18.76
01/11/1987;18.85;17.78
01/12/1987;17.28;17.05
01/01/1988;17.13;16.75
01/02/1988;16.8;15.73
01/03/1988;16.2;14.73
01/04/1988;17.86;16.6
01/05/1988;17.42;16.31
01/06/1988;16.53;15.54
01/07/1988;15.5;14.91
01/08/1988;15.52;14.89
01/09/1988;14.54;13.18
01/10/1988;13.77;12.41
01/11/1988;14.14;13.02
01/12/1988;16.38;15.31
01/01/1989;18.02;17.17
01/02/1989;17.94;16.89
01/03/1989;19.48;18.7
01/04/1989;21.07;20.32
01/05/1989;20.12;18.63
01/06/1989;20.05;17.67
01/07/1989;19.78;17.62
01/08/1989;18.58;16.77
01/09/1989;19.59;17.77
01/10/1989;20.1;18.91
01/11/1989;19.86;18.73
01/12/1989;21.1;19.84
01/01/1990;22.86;21.25
01/02/1990;22.11;19.81
01/03/1990;20.39;18.39
01/04/1990;18.43;16.61
01/05/1990;18.2;16.35
01/06/1990;16.7;15.1
01/07/1990;18.45;17.17
01/08/1990;27.31;27.17
01/09/1990;33.51;34.9
01/10/1990;36.04;36.02
01/11/1990;32.33;33.07
01/12/1990;27.28;28.27
01/01/1991;25.23;23.57
01/02/1991;20.48;19.54
01/03/1991;19.9;19.08
01/04/1991;20.83;19.18
01/05/1991;21.23;19.19
01/06/1991;20.19;18.17
01/07/1991;21.4;19.4
01/08/1991;21.69;19.77
01/09/1991;21.89;20.5
01/10/1991;23.23;22.21
01/11/1991;22.46;21.11
01/12/1991;19.5;18.41
01/01/1992;18.79;18.16
01/02/1992;19.01;18.05
01/03/1992;18.92;17.63
01/04/1992;20.23;18.92
01/05/1992;20.98;19.89
01/06/1992;22.39;21.16
01/07/1992;21.78;20.24
01/08/1992;21.34;19.74
01/09/1992;21.88;20.27
01/10/1992;21.69;20.26
01/11/1992;20.34;19.21
01/12/1992;19.41;18.14
01/01/1993;19.03;17.39
01/02/1993;20.09;18.47
01/03/1993;20.32;18.79
01/04/1993;20.25;18.67
01/05/1993;19.95;18.51
01/06/1993;19.09;17.65
